"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",900,0,22,28,20,1261,7232,15.44
"None","Total",900,0,22,28,20,1261,7232,15.44
